Header,Cluster
"JN170156.1 Bembidion breve small subunit ribosomal RNA gene, partial sequence",1
"JN170154.1 Bembidion biguttatum small subunit ribosomal RNA gene, partial sequence",1
"JN170153.1 Bembidion basicorne small subunit ribosomal RNA gene, partial sequence",1
"JN170137.1 Asaphidion alaskanum small subunit ribosomal RNA gene, partial sequence",1
"KT184334.1 Eimeria ahsata MEO2015 small subunit ribosomal RNA gene, partial sequence",1
"KU382041.1 Atractophora hypnoides small subunit ribosomal RNA gene, partial sequence",1
"KU382040.1 Catenellopsis oligarthra small subunit ribosomal RNA gene, partial sequence",1
"KU382039.1 Gracilariopsis andersonii small subunit ribosomal RNA gene, partial sequence",1
"KJ680557.1 Acineria incurvata small subunit ribosomal RNA gene, partial sequence",1
"KJ680556.1 Kentrophyllum verrucosum small subunit ribosomal RNA gene, partial sequence",-1
"HQ901762.1 Geranomyces hawaiiensis small subunit ribosomal RNA gene, partial sequence",1
"JN856016.1 Exophiala mesophila CBS 402.95 small subunit ribosomal RNA gene, partial sequence",1
"JN856014.1 Exophiala castellanii CBS 158.58 small subunit ribosomal RNA gene, partial sequence",1
"JN856012.1 Exophiala aquamarina CBS 119918 small subunit ribosomal RNA gene, partial sequence",1
"JN856010.1 Exophiala alcalophila CBS 520.82 small subunit ribosomal RNA gene, partial sequence",1
"DQ834911.1 Skvortzovia furfurella HHB3173 small subunit ribosomal RNA gene, partial sequence",1
"AY284839.1 Diphterophora obesa small subunit ribosomal RNA gene, partial sequence",1
"AY284838.1 Diphterophora obesa small subunit ribosomal RNA gene, partial sequence",1
"AY284837.1 Tylencholaimellus striatus small subunit ribosomal RNA gene, partial sequence",1
"AY284831.1 Leptonchus granulosus small subunit ribosomal RNA gene, partial sequence",1
"AY284828.1 Discolaimus major small subunit ribosomal RNA gene, partial sequence",1
"AY284827.1 Carcharodiscus banaticus small subunit ribosomal RNA gene, partial sequence",1
"AY284820.1 Axonchium propinquum small subunit ribosomal RNA gene, partial sequence",1
"AY284809.1 Paraxonchium laetificans small subunit ribosomal RNA gene, partial sequence",1
"AY284805.1 Microdorylaimus modestus small subunit ribosomal RNA gene, partial sequence",1
"AY284794.1 Thonus minutus small subunit ribosomal RNA gene, partial sequence",1
"AY284788.1 Pungentus silvestris small subunit ribosomal RNA gene, partial sequence",1
"AY284776.1 Dorylaimus stagnalis small subunit ribosomal RNA gene, partial sequence",1
"AY284774.1 Paravulvus hartingii small subunit ribosomal RNA gene, partial sequence",1
"AY284773.1 Clavicaudoides trophurus small subunit ribosomal RNA gene, partial sequence",1
"AY284767.1 Coomansus parvus small subunit ribosomal RNA gene, partial sequence",1
"AY284756.1 Mylonchulus sigmaturus small subunit ribosomal RNA gene, partial sequence",1
"AY284746.1 Prionchulus punctatus small subunit ribosomal RNA gene, partial sequence",1
"AY284738.1 Alaimus parvus small subunit ribosomal RNA gene, partial sequence",1
"AY284726.1 Bastiania gracilis small subunit ribosomal RNA gene, partial sequence",1
"AY284725.1 Bastiania gracilis small subunit ribosomal RNA gene, partial sequence",1
"AY284697.1 Anaplectus grandepapillatus small subunit ribosomal RNA gene, partial sequence",1
"AY284695.1 Theristus agilis small subunit ribosomal RNA gene, partial sequence",1
"AY284673.1 Acrobeloides apiculatus small subunit ribosomal RNA gene, partial sequence",1
"AY284671.1 Acrobeles complexus small subunit ribosomal RNA gene, partial sequence",1
"AY284670.1 Heterocephalobus elongatus small subunit ribosomal RNA gene, partial sequence",1
"AY284668.1 Heterocephalobus elongatus small subunit ribosomal RNA gene, partial sequence",1
"AY284666.1 Eucephalobus striatus small subunit ribosomal RNA gene, partial sequence",1
"AY284665.1 Eucephalobus oxyuroides small subunit ribosomal RNA gene, partial sequence",1
"AY284644.1 Aphelenchoides blastophthorus small subunit ribosomal RNA gene, partial sequence",1
"AY284643.1 Aphelenchoides bicaudatus small subunit ribosomal RNA gene, partial sequence",1
"AY284619.1 Globodera rostochiensis small subunit ribosomal RNA gene, partial sequence",1
"AY284596.1 Macrotrophurus arbusticola small subunit ribosomal RNA gene, partial sequence",1
"KP881349.1 Hemolivia stellata small subunit ribosomal RNA gene, partial sequence",1
"KR072683.1 Thaidasys tongiorgii small subunit ribosomal RNA gene, partial sequence",1
"KP295473.1 Trichodina centrostrigata small subunit ribosomal RNA gene, partial sequence",1
"KP762962.1 Longitarsus melanocephalus small subunit ribosomal RNA gene, partial sequence",1
"AF047889.1 Daptonema procerus small subunit ribosomal RNA gene, partial sequence",1
"KF728217.1 Ozobranchus margoi small subunit ribosomal RNA gene, partial sequence",1
"EF216902.1 Paramoeba perurans GD-D1/1/1 small subunit ribosomal RNA gene, partial sequence",1
"EF216901.1 Paramoeba perurans GD-D1/4 small subunit ribosomal RNA gene, partial sequence",1
"JN636073.1 Caenorhabditis wallacei JU1873 small subunit ribosomal RNA gene, partial sequence",1
"JN636071.1 Caenorhabditis guadeloupensis NIC113 small subunit ribosomal RNA gene, partial sequence",1
"FJ176829.1 Zygoascus hellenicus small subunit ribosomal RNA gene, partial sequence",1
"KP725835.1 Plesionika hsuehyui small subunit ribosomal RNA gene, partial sequence",1
"KP725831.1 Plesionika alcocki small subunit ribosomal RNA gene, partial sequence",1
"KP725823.1 Pasiphaea sirenkoi small subunit ribosomal RNA gene, partial sequence",1
"KP725772.1 Nematocarcinus crosnieri small subunit ribosomal RNA gene, partial sequence",1
"KP725758.1 Merhippolyte calmani small subunit ribosomal RNA gene, partial sequence",1
"KP725748.1 Lissosabinea unispinosa small subunit ribosomal RNA gene, partial sequence",1
"KP725701.1 Bathypalaemonella serratipalma small subunit ribosomal RNA gene, partial sequence",1
"KJ577871.1 Pseudosolenia calcar-avis small subunit ribosomal RNA gene, partial sequence",1
"KJ577860.1 Licmophora normaniana small subunit ribosomal RNA gene, partial sequence",1
"KJ577858.1 Helicotheca tamesis small subunit ribosomal RNA gene, partial sequence",1
"KJ577852.1 Coscinodiscus jonesianus small subunit ribosomal RNA gene, partial sequence",1
"KJ577842.1 Actinoptychus splendens small subunit ribosomal RNA gene, partial sequence",1
"KM242075.1 Kentomonas sorsogonicus small subunit ribosomal RNA gene, partial sequence",1
"KJ624397.1 Bembidion orion small subunit ribosomal RNA gene, partial sequence",1
"KF823834.1 Eukoenenia spelaea small subunit ribosomal RNA gene, partial sequence",1
"KF823829.1 Eukoenenia mirabilis small subunit ribosomal RNA gene, partial sequence",1
"KF823827.1 Eukoenenia florenciae small subunit ribosomal RNA gene, partial sequence",1
"KF823823.1 Prokoenenia wheeleri small subunit ribosomal RNA gene, partial sequence",1
"FJ969989.2 Microplana robusta small subunit ribosomal RNA gene, partial sequence",1
"FJ969983.2 Microplana terrestris small subunit ribosomal RNA gene, partial sequence",1
"KJ857511.1 Vibone vetusta small subunit ribosomal RNA gene, partial sequence",1
"KJ857510.1 Ballarra longipalpus small subunit ribosomal RNA gene, partial sequence",1
"KF744098.1 Phacus viridioryza Sondang060709L small subunit ribosomal RNA gene, partial sequence",2
"KF744097.1 Phacus viridioryza Mulryang090509G small subunit ribosomal RNA gene, partial sequence",2
"KF744096.1 Phacus acuminatus var. triquetra Gungnamji052507C small subunit ribosomal RNA gene, partial sequence",2
"KF744093.1 Phacus skujae Daeri010910E small subunit ribosomal RNA gene, partial sequence",2
"KF744092.1 Phacus ranula Jigok090112 small subunit ribosomal RNA gene, partial sequence",2
"KF744090.1 Phacus pusillus Beopsu033107M2 small subunit ribosomal RNA gene, partial sequence",2
"KF744088.1 Phacus platalea Daepyeong101908E small subunit ribosomal RNA gene, partial sequence",2
"KF744084.1 Phacus paraorbicularis Dongbakdongsan060609D small subunit ribosomal RNA gene, partial sequence",2
"KF744083.1 Phacus paraorbicularis Cheongsan052507F small subunit ribosomal RNA gene, partial sequence",2
"KF744080.1 Phacus mariae Leynes012810F small subunit ribosomal RNA gene, partial sequence",2
"KF744079.1 Phacus longisulca Psurononuma100609J small subunit ribosomal RNA gene, partial sequence",2
"KF744078.1 Phacus longicauda Burni081809 small subunit ribosomal RNA gene, partial sequence",2
"KF744077.1 Phacus limnophila Gungnamji052507L small subunit ribosomal RNA gene, partial sequence",2
"KF744074.1 Phacus limnophila Banryong092609G small subunit ribosomal RNA gene, partial sequence",2
"KF744072.1 Phacus hamatus ACOI1138 small subunit ribosomal RNA gene, partial sequence",2
"KF744071.1 Phacus claviformis Gungnamji052507F small subunit ribosomal RNA gene, partial sequence",2
"KF744069.1 Phacus caudatus Buan092609S small subunit ribosomal RNA gene, partial sequence",2
"KF744068.1 Phacus carinatus Daepyeong101908G small subunit ribosomal RNA gene, partial sequence",2
"KF744067.1 Phacus brevisulca Suwol060709A small subunit ribosomal RNA gene, partial sequence",2
"KF744066.1 Phacus applanatus Beopsu030709E small subunit ribosomal RNA gene, partial sequence",2
"AB923888.1 Strongyloides stercoralis small subunit ribosomal RNA gene, partial sequence",1
"AB923885.1 Parastrongyloides trichosuri small subunit ribosomal RNA gene, partial sequence",1
"KJ434103.1 Euplotes petzi 1WS22-04 small subunit ribosomal RNA gene, partial sequence",1
"KJ680554.1 Trachelius ovum small subunit ribosomal RNA gene, partial sequence",1
"KF725634.1 Dysteria nabia small subunit ribosomal RNA gene, partial sequence",1
"KC142196.1 Kudoa crumena small subunit ribosomal RNA gene, partial sequence",1
"KF381539.1 Neohygrocybe ingrata small subunit ribosomal RNA gene, partial sequence",1
"KF381532.1 Hygroaster albellus small subunit ribosomal RNA gene, partial sequence",1
"KF054135.1 Blechomonas danrayi small subunit ribosomal RNA gene, partial sequence",1
"KF054133.1 Blechomonas campbelli small subunit ribosomal RNA gene, partial sequence",1
"KF054116.1 Blechomonas ayalai small subunit ribosomal RNA gene, partial sequence",1
"KC157584.1 Akalaphycus liagoroides small subunit ribosomal RNA gene, partial sequence",1
"KC157582.1 Mastophoropsis canaliculata small subunit ribosomal RNA gene, partial sequence",1
"KC875397.1 Parasitylenchus bifurcatus small subunit ribosomal RNA gene, partial sequence",1
"KC875393.1 Pratylenchus fallax small subunit ribosomal RNA gene, partial sequence",1
"KC875376.1 Meloidogyne incognita small subunit ribosomal RNA gene, partial sequence",1
"AF168881.1 Xyris difformis small subunit ribosomal RNA gene, partial sequence",1
"AF168878.1 Thalassia testudinum small subunit ribosomal RNA gene, partial sequence",1
"AF168869.1 Pistia stratiotes small subunit ribosomal RNA gene, partial sequence",1
"AF168859.1 Mayaca fluviatilis small subunit ribosomal RNA gene, partial sequence",1
"AF168846.1 Globba curtisii small subunit ribosomal RNA gene, partial sequence",1
"AF168845.1 Flagellaria indica small subunit ribosomal RNA gene, partial sequence",1
"AF168842.1 Ensete ventricosum small subunit ribosomal RNA gene, partial sequence",1
"AF168840.1 Elasis hirsuta small subunit ribosomal RNA gene, partial sequence",1
"AF168830.1 Canna tuerckheimii small subunit ribosomal RNA gene, partial sequence",1
"AF168826.1 Aponogeton crispus small subunit ribosomal RNA gene, partial sequence",1
"AF168824.1 Abolboda americana small subunit ribosomal RNA gene, partial sequence",1
"JX443488.1 Ellipsomyxa adlardi small subunit ribosomal RNA gene, partial sequence",1
"FJ876958.1 Novistrombidium apsheronicum small subunit ribosomal RNA gene, partial sequence",1
"FJ876954.1 Trachelotractus entzi small subunit ribosomal RNA gene, partial sequence",1
"FJ876953.1 Frontonia magna small subunit ribosomal RNA gene, partial sequence",1
"FJ875141.1 Frontonia mengi small subunit ribosomal RNA gene, partial sequence",1
"KC136706.1 Trichomitopsis minor small subunit ribosomal RNA gene, partial sequence",1
"EF455780.1 Planomonas micra ATCC 50267 small subunit ribosomal RNA gene, partial sequence",1
"KC218424.1 Epizoanthus illoricatus small subunit ribosomal RNA gene, partial sequence",1
"KC218399.1 Kulamanamana haumeaae small subunit ribosomal RNA gene, partial sequence",1
"AF088806.1 Pseudarchaster parelii small subunit ribosomal RNA gene, partial sequence",1
"AF088803.1 Dorometra aegyptica small subunit ribosomal RNA gene, partial sequence",1
"AF088802.1 Brisingaster robillardi small subunit ribosomal RNA gene, partial sequence",1
"GU227368.1 Flabellina bilas small subunit ribosomal RNA gene, partial sequence",1
"GU227365.1 Spurilla major small subunit ribosomal RNA gene, partial sequence",1
"KC109664.1 Reticulamoeba gemmipara 6 small subunit ribosomal RNA gene, partial sequence",1
"JX260349.1 Macrostylis roaldi small subunit ribosomal RNA gene, partial sequence",1
"AY962433.1 Haementeria lutzi small subunit ribosomal RNA gene, partial sequence",1
"JX560856.1 Nirmala odelli small subunit ribosomal RNA gene, partial sequence",1
"JX560851.1 Pterostichus cavazzutii small subunit ribosomal RNA gene, partial sequence",1
"JX560848.1 Pterostichus strenuus small subunit ribosomal RNA gene, partial sequence",1
"JX560815.1 Pterostichus pilifer small subunit ribosomal RNA gene, partial sequence",1
"FJ876964.1 Rimostrombidium veniliae small subunit ribosomal RNA gene, partial sequence",1
"FJ876963.1 Pelagostrobilidium paraepacrum small subunit ribosomal RNA gene, partial sequence",1
"FJ876966.1 Williophrya maedai small subunit ribosomal RNA gene, partial sequence",1
"HQ912687.1 Odontella aurita ECT3772-Odontella small subunit ribosomal RNA gene, partial sequence",1
"HQ912659.1 Cymatopleura elliptica L1333 small subunit ribosomal RNA gene, partial sequence",1
"HQ912658.1 Surirella minuta UTEX FD320 small subunit ribosomal RNA gene, partial sequence",1
"HQ912655.1 Lithodesmioides polymorpha ECT3772-Lithodesmioides small subunit ribosomal RNA gene, partial sequence",1
"HQ912617.1 Detonula confervacea CCMP353 small subunit ribosomal RNA gene, partial sequence",1
"HQ912609.1 Scoliopleura peisonis UTEX FD13 small subunit ribosomal RNA gene, partial sequence",1
"HQ912606.1 Aulacoseira granulata UTEX FD301 small subunit ribosomal RNA gene, partial sequence",1
"HQ912605.1 Fallacia pygmaea UTEX FD294 small subunit ribosomal RNA gene, partial sequence",1
"HQ912597.1 Diploneis subovalis UTEX FD282 small subunit ribosomal RNA gene, partial sequence",1
"HQ912596.1 Fallacia monoculata UTEX FD254 small subunit ribosomal RNA gene, partial sequence",1
"HQ912587.1 Fragilaria construens UTEX FD232 small subunit ribosomal RNA gene, partial sequence",1
"HQ912580.1 Caloneis lewisii UTEX FD54 small subunit ribosomal RNA gene, partial sequence",1
"HQ912573.1 Paralia sulcata CCAP1059/1 small subunit ribosomal RNA gene, partial sequence",1
"HQ912572.1 Triceratium dubium CCMP147 small subunit ribosomal RNA gene, partial sequence",1
"HQ912568.1 Minutocellus polymorphus CCMP497 small subunit ribosomal RNA gene, partial sequence",1
"HQ912565.1 Brockmanniella brockmannii CCMP151 small subunit ribosomal RNA gene, partial sequence",1
"HQ912564.1 Trieres chinensis CCMP1815 small subunit ribosomal RNA gene, partial sequence",1
"HQ912560.1 Coscinodiscus radiatus CCMP310 small subunit ribosomal RNA gene, partial sequence",1
"HQ912554.1 Corethron hystrix CCMP307 small subunit ribosomal RNA gene, partial sequence",1
"JN603867.1 Monomorphina rudicula ASW08035 small subunit ribosomal RNA gene, partial sequence",2
"JN603865.1 Monomorphina pyrum Yeonhwaji060709F small subunit ribosomal RNA gene, partial sequence",2
"JN603859.1 Monomorphina pyrum Daepyeong040508B small subunit ribosomal RNA gene, partial sequence",2
"JN603854.1 Monomorphina pseudonordstedti Heontang090509H small subunit ribosomal RNA gene, partial sequence",2
"JN603849.1 Monomorphina pseudonordstedti Buan092609H small subunit ribosomal RNA gene, partial sequence",2
"JN603842.1 Monomorphina aenigmatica Hoisan032709L small subunit ribosomal RNA gene, partial sequence",2
"JN603838.1 Monomorphina aenigmatica Daepyeong101908J small subunit ribosomal RNA gene, partial sequence",2
"JN582047.1 Leptomonas rigidus PL small subunit ribosomal RNA gene, partial sequence",1
"AY157184.1 Psettarium nolani small subunit ribosomal RNA gene, partial sequence",1
"JN123371.1 Trichodorus similis small subunit ribosomal RNA gene, partial sequence",1
"AF124475.1 Hymenolepis diminuta small subunit ribosomal RNA gene, partial sequence",1
"AF124471.1 Anthobothrium laciniatum small subunit ribosomal RNA gene, partial sequence",1
"AF124465.1 Eniochobothrium gracile small subunit ribosomal RNA gene, partial sequence",1
"HM236339.1 Cohnilembus verminus small subunit ribosomal RNA gene, partial sequence",1
"HM236337.1 Uronemella parafilificum small subunit ribosomal RNA gene, partial sequence",1
"HM236336.1 Metanophrys sinensis small subunit ribosomal RNA gene, partial sequence",1
"HM236335.1 Porpostoma notata small subunit ribosomal RNA gene, partial sequence",1
"DQ003031.1 Cystodiscus melleni small subunit ribosomal RNA gene, partial sequence",1
"JN592589.1 Pedinomonas tuberculata UTEX LB 1539 small subunit ribosomal RNA gene, partial sequence",1
"JN592588.1 Pedinomonas minor UTEX LB 1350 small subunit ribosomal RNA gene, partial sequence",1
"AY526493.2 Paecilomyces penicillatus CBS 448.69 small subunit ribosomal RNA gene, partial sequence",1
"AY526480.2 Septofusidium herbarum CBS 265.58 small subunit ribosomal RNA gene, partial sequence",1
"AY526465.2 Cordyceps cateniannulata CBS 152.83 small subunit ribosomal RNA gene, partial sequence",1
"JN227668.1 Margolisiella islandica small subunit ribosomal RNA gene, partial sequence",1
"JN565043.1 Oligotrema lyra small subunit ribosomal RNA gene, partial sequence",1
"HQ912416.1 Stenopterobia curvula L541 small subunit ribosomal RNA gene, partial sequence",1
"HQ912415.1 Surirella splendida 19C small subunit ribosomal RNA gene, partial sequence",1
"HQ912412.1 Campylodiscus clypeus L951 small subunit ribosomal RNA gene, partial sequence",1
"HQ912404.1 Hantzschia amphioxys var. major A4 small subunit ribosomal RNA gene, partial sequence",1
"AY548297.1 Saitoella complicata IAM 12963; OSC100046 small subunit ribosomal RNA gene, partial sequence",1
"AF242548.1 Euglenaria anabaena small subunit ribosomal RNA gene, partial sequence",2
"HQ173831.1 Eimeria intestinalis small subunit ribosomal RNA gene, partial sequence",1
"HM230826.1 Latyspora scomberomori small subunit ribosomal RNA gene, partial sequence",1
"HM230825.1 Sphaerospora testicularis small subunit ribosomal RNA gene, partial sequence",1
"FJ876965.1 Lynnella semiglobulosa small subunit ribosomal RNA gene, partial sequence",1
"EU876564.1 Corymorpha bigelowi small subunit ribosomal RNA gene, partial sequence",1
"GU938870.1 Copromyxa protea BF08-7B-2 small subunit ribosomal RNA gene, partial sequence",1
"HQ419157.1 Trogoderma granarium small subunit ribosomal RNA gene, partial sequence",1
"AB284575.1 Atkinsiella dubia NJM 0132 small subunit ribosomal RNA gene, partial sequence",1
"AB284574.1 Halodaphnea panulirata NJM 9832 small subunit ribosomal RNA gene, partial sequence",1
"HQ324898.1 Azadinium poporum small subunit ribosomal RNA gene, partial sequence",1
"GU327678.1 Prorocentrum glenanicum small subunit ribosomal RNA gene, partial sequence",1
"GU327677.1 Prorocentrum pseudopanamense small subunit ribosomal RNA gene, partial sequence",1
"AY842018.1 Novocrania anomala small subunit ribosomal RNA gene, partial sequence",1
"DQ534694.1 Scleroderma laeve 27936 small subunit ribosomal RNA gene, partial sequence",1
"DQ534692.1 Suillus lakei PDD7 small subunit ribosomal RNA gene, partial sequence",1
"DQ534690.1 Rhizopogon olivaceotinctus REG637 small subunit ribosomal RNA gene, partial sequence",1
"DQ534686.1 Paxillus filamentosus REG304 small subunit ribosomal RNA gene, partial sequence",1
"DQ534682.1 Gomphidius roseus MB 95-038; Gro1 small subunit ribosomal RNA gene, partial sequence",1
"DQ534680.1 Gyroporus cyanescens Gcy2 small subunit ribosomal RNA gene, partial sequence",1
"AY688729.1 Reboulia hemisphaerica small subunit ribosomal RNA gene, partial sequence",-1
"AY688719.1 Jungermannia leiantha small subunit ribosomal RNA gene, partial sequence",1
"AY688707.1 Conocephalum conicum small subunit ribosomal RNA gene, partial sequence",1
"AY012398.1 Phytelephas aequatorialis small subunit ribosomal RNA gene, partial sequence",1
"AY012385.1 Bentinckia nicobarica small subunit ribosomal RNA gene, partial sequence",1
"AY012384.1 Hydriastele pinangoides small subunit ribosomal RNA gene, partial sequence",1
"AY012358.1 Salacca zalacca small subunit ribosomal RNA gene, partial sequence",1
"AY012355.1 Borassus flabellifer small subunit ribosomal RNA gene, partial sequence",1
"AY012353.1 Sabal domingensis small subunit ribosomal RNA gene, partial sequence",1
"AY012352.1 Corypha utan small subunit ribosomal RNA gene, partial sequence",1
"DQ862043.1 Melanconis stilbostoma small subunit ribosomal RNA gene, partial sequence",1
"DQ646550.1 Rhodotarzetta rosea small subunit ribosomal RNA gene, partial sequence",1
"DQ646548.1 Psilopezia juruensis small subunit ribosomal RNA gene, partial sequence",1
"DQ646543.1 Peziza gerardii small subunit ribosomal RNA gene, partial sequence",1
"DQ646542.1 Peziza badiofusca small subunit ribosomal RNA gene, partial sequence",1
"DQ646540.1 Pachyella clypeata small subunit ribosomal RNA gene, partial sequence",1
"DQ646539.1 Octospora hygrohypnophila small subunit ribosomal RNA gene, partial sequence",1
"DQ646537.1 Melastiza cornubiensis small subunit ribosomal RNA gene, partial sequence",1
