Header,Cluster,Confidence
"KT302231.1 Algidia nigriflava small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ879587.1 Mastigella erinacea LARNAKA2N small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ879586.1 Mastigella erinacea LARNAKA2N small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ879585.1 Mastigella erinacea LARNAKA2N small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KP868771.1 Rurikoplites armatus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"LC031816.1 Entamoeba marina SRT209 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ961657.1 Amphora laevis var. laevissima 77 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ887465.1 Cicerina tetradactyla small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ887448.1 Thylacorhynchus conglobatus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ887447.1 Phonorhynchella biarcuata small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KJ887405.1 Austrorhynchus bruneti small subunit ribosomal RNA gene, partial sequence",-1,0.0
"DQ211593.1 Peregrinia clavideferens HFCC94 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KF954463.1 Protodriloides symbioticus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KF828109.1 Linuparus trigonus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AJ532481.1 Phacus brachykentron SAG 1261-7 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AB564298.1 Herdmania litoralis small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JX565030.1 Tetratrichomonas buttreyi small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KC594685.1 Chaetoceros muellerii small subunit ribosomal RNA gene, partial sequence",-1,0.0
"KC529513.1 Vejdovskya ignava small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JX157644.1 Rhizomastix libera small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JN606351.1 Psalteriomonas magna IND7 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"HQ168425.1 Philine exigua small subunit ribosomal RNA gene, partial sequence",-1,0.0
"HQ224956.1 Klossia helicina small subunit ribosomal RNA gene, partial sequence",-1,0.0
"HQ224955.1 Klossia helicina small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JF293009.1 Drepanogigas albolineatus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AM779755.1 Prymnesium palpebrale UIO 133 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AM491029.2 Prymnesium chiton PLY 146A small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AM491016.2 Pseudohaptolina arctica CCMP 1204 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AY788931.1 Fibrocapsa japonica CCMP 1661 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AJ246273.1 Chrysochromulina campanulifera J10 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AF116913.1 Pyropia pseudolinearis pk-48 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"JN381493.1 Phaeocystis antarctica MM-E1B6 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AF519254.1 Phascolosoma perlucens small subunit ribosomal RNA gene, partial sequence",-1,0.0
"FJ649599.1 Wirenia argentea small subunit ribosomal RNA gene, partial sequence",-1,0.0
"HQ226071.1 Blastodinium spinulosum small subunit ribosomal RNA gene, partial sequence",-1,0.0
"FJ719628.1 Phacus hamelii ACOI1088 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"AB569156.1 Adula falcatoides small subunit ribosomal RNA gene, partial sequence",-1,0.0
"DQ790109.1 Dulacia candida small subunit ribosomal RNA gene, partial sequence",-1,0.0
"HM437197.1 Paragorgia arborea small subunit ribosomal RNA gene, partial sequence",-1,0.0
"EF622677.1 Eucapnopsis brevicauda small subunit ribosomal RNA gene, partial sequence",-1,0.0
"FJ965983.1 Engaewa reducta small subunit ribosomal RNA gene, partial sequence",-1,0.0
"FJ766451.1 Protostelium mycophagum KA-T15-1 small subunit ribosomal RNA gene, partial sequence",-1,0.0
"FJ541187.1 Blastodinium galatheanum small subunit ribosomal RNA gene, partial sequence",-1,0.0
"U37365.1 Pelagodinium beii Globigerinoides conglobatus small subunit ribosomal RNA gene, partial sequence",-1,0.0
"EU433993.1 Gozmanyina majesta small subunit ribosomal RNA gene, partial sequence",-1,0.0
