Header,Cluster,Confidence,Source
"NR_118942.1 Streptococcus vestibularis ATCC 49124 strain NCTC 12166 16S ribosomal RNA, partial sequence",1,0.7143598968724294,16S
"NR_118909.1 Saccharomonospora viridis strain ATCC 15386 16S ribosomal RNA, partial sequence",1,0.8843675710613406,16S
"NR_118892.1 Tsukamurella paurometabola DSM 20162 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118895.1 Terrabacter tumescens strain NCIB 8914 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118902.1 Vagococcus fluvialis strain NCDO 2497 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026090.1 Planococcus citreus strain NCIMB 1493 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_026091.1 Planococcus kocurii strain NCIMB 629 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_119302.1 Vibrio cholerae strain ATCC 14035 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029162.1 Neorickettsia risticii str. Illinois 16S ribosomal RNA, partial sequence >NR_074389.1 Neorickettsia risticii str. Illinois 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044746.1 Ehrlichia sennetsu strain Miyayama 16S ribosomal RNA, partial sequence",1,0.950408372537387,16S
"NR_118741.1 Ehrlichia canis strain Oklahoma 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044747.1 Ehrlichia ewingii strain Stillwater 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118768.1 Erythrobacter longus strain OCh101 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025932.1 Heliobacterium chlorum strain ATCC 35205 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044741.1 [Haemophilus] ducreyi strain CIP 54.2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025896.1 Mycoplasma corogypsi strain BV1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025933.1 Pyrodictium occultum strain PL-19 16S ribosomal RNA, complete sequence",1,1.0,16S
"NR_025889.1 Bartonella elizabethae strain F9251 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_037056.1 Bartonella vinsonii subsp. vinsonii strain Baker 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_037057.1 Roseobacter denitrificans OCh 114 16S ribosomal RNA, partial sequence >NR_118769.1 Roseobacter denitrificans OCh 114 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044677.1 Saccharolobus shibatae B12 16S ribosomal RNA, complete sequence",1,1.0,16S
"NR_025943.1 Guyparkeria hydrothermalis strain R3 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025901.1 Thermus filiformis strain Wai33 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025900.1 Thermus aquaticus strain YT-1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118761.1 Actinobacillus ureae strain Henrikson 3520/59 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118745.1 Actinobacillus seminis strain ATCC 15768 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118759.1 Actinobacillus capsulatus strain CCUG 12396 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118758.1 Actinobacillus lignieresii strain NCTC 4189 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118755.1 Actinobacillus capsulatus strain NCTC 11408 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118760.1 Actinobacillus equuli strain NCTC 8529 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029171.1 Aggregatibacter actinomycetemcomitans strain 277/49-50(8) 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044754.1 Aerococcus urinae 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044742.1 Afipia felis ATCC 53690 strain B-91-007352 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044744.1 Afipia clevelandensis ATCC 49720 strain B-91-007353 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044743.1 Bartonella bacilliformis strain KC583 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118654.1 Campylobacter ureolyticus strain ATCC 33387 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118739.1 Campylobacter hyointestinalis strain ATCC 35217 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118653.1 Campylobacter lari subsp. lari strain CCUG 23947 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118764.1 Caulobacter mirabilis strain FWC 38 16S ribosomal RNA, partial sequence",1,0.6674818090768636,16S
"NR_118765.1 Brevundimonas halotolerans strain MCS24 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025934.1 Cardiobacterium hominis strain 6573 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118711.1 Desulfogranum marinum strain 3pr10 16S ribosomal RNA, partial sequence",1,0.6179637888226838,16S
"NR_118708.1 Nitratidesulfovibrio vulgaris str. Hildenborough 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118709.1 Desulfobotulus sapovorans strain 1pa3 16S ribosomal RNA, partial sequence",1,0.8225705632191876,16S
"NR_118710.1 Desulfarculus baarsii strain 2st 14 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118650.1 Erythrobacter longus strain OCh101 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118725.1 Roseobacter denitrificans OCh 114 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118694.1 Saccharopolyspora rectivirgula strain ATCC 33515 16S ribosomal RNA, partial sequence",1,0.9696019358480664,16S
"NR_025944.1 Salegentibacter salegens strain DSM 5424 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118762.1 Haemophilus parainfluenzae ATCC 33392 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025938.1 Haemophilus parahaemolyticus strain 536 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118742.1 Aggregatibacter aphrophilus ATCC 33389 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044749.1 Aggregatibacter segnis ATCC 33393 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118757.1 Glaesserella parasuis strain NCTC 4557 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118756.1 Canicola haemoglobinophilus strain NCTC 1659 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044751.1 Haemophilus paracuniculus 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118753.1 Avibacterium paragallinarum strain NCTC 11296 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118744.1 Haemophilus haemolyticus strain NCTC 10659 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044753.1 Haemophilus paraphrohaemolyticus 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_125709.1 Heliothrix oregonensis strain F1 16S ribosomal RNA, partial sequence",1,0.7161051526378739,16S
"NR_025891.1 Kingella oralis strain UB-38 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044681.1 Suttonella indologenes strain ATCC 25869 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118717.1 Legionella micdadei strain TATLOCK 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118715.1 Legionella spiritensis strain Mt St Helens-9 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118714.1 Legionella longbeachae strain Long Beach-4 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118713.1 Legionella hackeliae strain Lansing-2 16S ribosomal RNA, partial sequence",1,0.990374789042978,16S
"NR_118712.1 Legionella pneumophila strain Philadelphia 1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118660.1 Magnetovibrio blakemorei strain MV-1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029168.1 Mycolicibacter terrae strain F 628 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025892.1 Neisseria flavescens strain N 155 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118659.1 Neisseria macacae ATCC 33926 16S ribosomal RNA, partial sequence",1,0.8904258887694335,16S
"NR_044614.1 Neisseria canis strain H 6 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025893.1 Neisseria elongata subsp. elongata strain ATCC 25295 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118763.1 Rodentibacter pneumotropicus strain NCTC 8141 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025937.1 Avibacterium volantium strain NCTC 3438 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118748.1 Pasteurella stomatis strain ATCC 43327 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118754.1 Avibacterium gallinarum strain NCTC 11188 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044750.1 Avibacterium avium strain NCTC 11297 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118752.1 Gallibacterium anatis DSM 16844 = F 149 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118751.1 Alitibacter langaaensis strain ATCC 43328 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118750.1 Pasteurella oralis strain CCUG 19794 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118749.1 Pasteurella dagmatis ATCC 43325 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118747.1 Pasteurella canis strain ATCC 43326 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118746.1 [Pasteurella] aerogenes strain ATCC 27883 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044679.1 Rhodocyclus purpureus strain 6770 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044748.1 Bartonella quintana strain Fuller 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044734.1 Selenomonas ruminantium strain GA192 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118719.1 Brachyspira hyodysenteriae strain B78 16S ribosomal RNA, partial sequence",1,0.9924885285359998,16S
"NR_118720.1 Brachyspira innocens strain B256 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118736.1 Sporomusa termitida strain JSN-2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044616.1 Synergistes jonesii strain 78-1 16S ribosomal RNA, partial sequence",1,0.9358120507919333,16S
"NR_044755.1 Thiobacillus thioparus strain Starkey 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044745.1 Treponema saccharophilum strain ATCC 43261 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044684.1 Treponema succinifaciens DSM 2489 strain 6091 16S ribosomal RNA, partial sequence",1,0.7636394320763997,16S
"NR_044683.1 Thermoproteus tenax Kra 1 16S ribosomal RNA, complete sequence",1,1.0,16S
"NR_025894.1 Vitreoscilla stercoraria strain Gottingen 1488-6 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025834.1 Brachymonas denitrificans strain AS-P1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029362.1 Francisella tularensis strain B-38 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_119007.1 Bifidobacterium animalis subsp. animalis ATCC 25527 16S ribosomal RNA, partial sequence",-1,0.0,16S
"NR_036983.1 Thermus brockianus strain YS38 16S ribosomal RNA gene, partial sequence",1,1.0,16S
"NR_027614.1 Meiothermus ruber strain DSM 1279 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025906.1 Arcobacter nitrofigilis strain CI 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029143.1 Mycobacterium celatum strain ATCC 51131 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118664.1 Malacoplasma penetrans strain GTU-54-6A1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029235.1 Dictyoglomus thermophilum H-6-12 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_115533.1 Fuscovulum blasticum DSM 2131 strain ATCC 33485 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_043405.1 Phaeovulum veldkampii DSM 11550 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_043406.1 Rhodovulum euryhalinum strain DSM 4868 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025845.1 Rhodovulum strictum strain MB-G2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025841.1 Rubrivivax gelatinosus strain ATH 2.2.1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025839.1 Rhodocyclus tenuis strain 2761 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025840.1 Rhodoferax fermentans strain FR2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_115523.1 Sphingomonas paucimobilis strain GIFU 2395 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_115524.1 Sphingobium yanoikuyae strain GIFU 9882 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_115525.1 Sphingomonas adhaesiva strain GIFU11458 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025838.1 Novosphingobium capsulatum strain GIFU 11526 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025902.1 Neisseria weaveri strain CDC 8142 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044818.1 Actinopolyspora halophila strain ATCC 27976 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029237.1 Helcococcus kunzii strain 22 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118665.1 Alkalithermobacter paradoxus strain JW/YL23-2 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044626.1 Lawsonia intracellularis strain 1482/89 16S ribosomal RNA, complete sequence",-1,0.0,16S
"NR_044617.1 Thermoanaerobacter kivui strain LKT-1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_025898.1 Thermoanaerobacter thermocopriae strain JT-3 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_029144.1 Neomoorella thermoacetica strain JW 701/3 16S ribosomal RNA, partial sequence",1,0.816423409436546,16S
"NR_025899.1 Caloramator fervidus strain RT4. B1 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044624.1 [Clostridium] cellulosi strain AS 1.1777 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_036878.1 Caldicellulosiruptor saccharolyticus strain Tp8T.6331 16S ribosomal RNA gene, partial sequence",1,1.0,16S
"NR_044618.1 Thermoanaerobacter thermohydrosulfuricus strain E100-69 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_044619.1 Thermoanaerobacter ethanolicus strain JW-200 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_118662.1 Thermoanaerobacter pseudethanolicus strain 39E 16S ribosomal RNA, partial sequence",1,1.0,16S
"NR_027577.1 Thermoanaerobacter brockii strain HTD4 16S ribosomal RNA, partial sequence",1,1.0,16S
